Case Number,Month,Day,Year,Country,Region,Attack Location,Provoked (Y/N),Injury Description,Fatal (Y/N),Victim_Gender,Activity,Investigator or Source
2002.10.30,Oct,30,2002,usa,hawaii,"kama'ole beach park i, kihei, maui",Unprovoked,Left foot bitten ,n,f,Swimming,J. Crites
2002.10.14,Oct,14,2002,brazil,pernambuco,"piedade beach, jaboatão dos guararapes city, recife",Unprovoked,"FATAL, body not recovered",y,m,Swimming,"P.M. Lopes, GSAF"
2002.10.11,Oct,11,2002,usa,florida,opposite main gate at patrick air force base,Unprovoked,Left foot bitten,n,m,Surfing,"Florida Today, 10/12/2002 "
2002.09.30,Sep,30,2002,usa,florida,ormond beach,Unprovoked,Right hand severely lacerated,n,m,Surfing,"S. Petersohn, GSAF; J. Eager, scubaradio.com; P.Balona, Vero Beach Press Journal, 5/10/2003, p.1C"
2002.09.29,Sep,29,2002,usa,florida,sebastian inlet,Unprovoked,Left hand bitten,n,m,Surfing,"Local 6 News; P. Balona, Vero Beach Press Journal, 10/2/2002"
2002.09.27.c,Sep,27,2002,usa,hawaii,"kahala, o'ahu",Unprovoked,"No injury, surfboard bitten ",n,m,Fishing from Surfboard,"C. Lum & J. Widner, Honolulu Advertiser"
2002.09.27.b,Sep,27,2002,usa,florida,key largo,Provoked,Left thumb lacerated PROVOKED INCIDENT,n,m,Fishing,"J. Eager, scubaradio.com"
2002.09.27.a,Sep,27,2002,tonga,vava'u,swimming with humpback whales,Provoked,Thigh lacerated  PROVOKED INCIDENT,n,m,Swimming,C. Butterfield
2002.09.21.b,Sep,21,2002,usa,oregon,cape kiwanda,Unprovoked, Ankle lacerated,n,m,Boogie boarding or Surfing,"R. Collier, GSAF  "
2002.09.21.a,Sep,21,2002,usa,california,moonstone beach,Unprovoked,No injury,n,m,Surfing,"R. Collier , GSAF"
2002.09.16.b,Sep,16,2002,brazil,pernambuco,"piedade beach, jaboatão dos guararapes city",Unprovoked,"Left thigh bitten, leg surgically amputated",n,m,Swimming,"P.M. Lopes, GSAF"
2002.09.13,Sep,13,2002,south africa,western cape province,"glencairn, false bay",Unprovoked,No injury,n,m,Surf skiing,Multiple internet sources
2002.08.28,Aug,28,2002,usa,hawaii,"kewalo basin channel, o'ahu",Unprovoked,Left foot lacerated ,n,m,Surfing,"G. Kubota, Honolulu Star Bulletin"
2002.08.17,Aug,17,2002,usa,alabama,"gulf of mexico, 65 miles offshore from mobile",Unprovoked,Both arms & leg bitten,n,f,Swimming,"J. Eager, scubaradio.com"
2002.08.14,Aug,14,2002,usa,florida,new smyrna beach,Unprovoked,Big toe bitten,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel, 8/15/2002, p.B3"
2002.08.11,Aug,11,2002,usa,florida,vero beach,Unprovoked,Lacerations on heel & dorsum of right foot,n,m,Surfing,"Stuart News, 8/12/2002"
2002.07.26,Jul,26,2002,usa,south carolina,myrtle beach,Unprovoked,Heel bitten,n,m,Surfing,"C. Creswell, GSAF; The  State  (Columbia, SC) 7/28/2002 ; Sun News (Myrtle Beach), 7/28/2002"
2002.07.20,Jul,20,2002,usa,north carolina,emerald isle,Unprovoked,Calf bitten,n,f,Swimming,"C. Creswell, GSAF"
2002.07.10,Jul,10,2002,usa,florida,ponce inlet,Provoked,2 small lacerations on left lower leg when he jumped off board and landed on the shark PROVOKED INCIDENT,n,m,Surfing,"S. Petersohn, GSAF"
2002.07.09.a,Jul,10,2002,brazil,pernambuco,"piedade beach, recife",Unprovoked,Right hand severed,n,m,Surfing,"P.M. Lopes, GSAF"
2002.06.20.b,Jun,20,2002,australia,queensland,sunshine beach,Unprovoked,minor injury to foot,n,m,Surfing,"AAP, 6/20/2002"
2002.06.20.a,Jun,20,2002,usa,florida,new smyrna beach,Unprovoked,Small lacerations on right lower leg,n,f,Swimming,"S. Petersohn, GSAF"
2002.06.11.a,Jun,10,2002,usa,florida,st augustine beach,Unprovoked,Right hand lacerated,n,m,Surfing,"Orlando Sentinel, 6/12/2002, pp. B2 & B5; Florida Times-Union, 6/10/2002"
2002.05.31.b,May,31,2002,usa,california,stinson beach,Unprovoked,Lacerated leg & back,n,m,Surfing,San Francisco Gate
2002.05.31.a,May,31,2002,usa,florida,st. george island (near apachicola),Unprovoked,Lacerated foot,n,m,Floating on a raft,"South Florida Sun-Sentinel; Orlando Sentinel, 6/3/2002, p.B.2; Miami Herald, 6/3/2002"
2002.05.22.b,May,22,2002,usa,florida,"a pier at the end of caxambas drive, marco island",Provoked,Leg bitten by hooked shark PROVOKED INCIDENT,n,m,"Fishing, removing the shark from his line","News-Press, 5/23/2002"
2002.05.22.a,May,22,2002,usa,florida,atlantic avenue,Unprovoked,"2-inch wound on dorsum of right foot, 1-inch wound on sole",n,m,Playing in the surf with his 2 dogs,"Palm Beach Post,  5/24 & 26/2002"
2002.05.21.R,May,21,2002,costa rica,guanacaste,playa grande,Unprovoked,Toothmarks in board & his swim trunks,n,m,Surfing,Surfline.com
2002.05.21,May,21,2002,papua new guinea,milne bay province,tewatewa island,Unprovoked,Wrist lacerated,n,m,Collecting beche-de-mer,"PNG Post-Courier, 6/13/2002, p.5"
2002.05.13,May,13,2002,usa,florida,ten thousand islands national wildlife refuge,Unprovoked,Laceration to arm.,n,m,Fishing,South Florida Sun-Sentinel; Southwest Florida Digest
2002.05.10,May,10,2002,brazil,pernambuco,"pina, recife",Unprovoked,Leg injured,n,m,Surfing,"JCOnline, 5/11/2002"
2002.04.30,Apr,30,2002,australia,south australia,"smoky bay, near ceduna, on the eyre peninsula",Unprovoked,"FATAL, torso & leg bitten  ",y,m,Scallop diving (using surface-supplied air & a POD) ,"T. Peake, GSAF"
2002.04.20,Apr,20,2002,usa,florida,st. augustine beach,Unprovoked,Left foot bitten,n,m,"Surfing, but standing in water alongside board","Miami Herald, 4/25/2002; Florida Times-Union, 4/23/2002"
2002.04.18,Apr,18,2002,usa,florida,new smyrna beach,Unprovoked,Left foot bitten,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel, 4/19/2002, p.G1; Daytona Beach News Journal, 4/19/2002, p.1C"
2002.04.12,Apr,12,2002,australia,new south wales,"bar beach, newcastle",Unprovoked,Foot bitten,n,m,Swimming,"T. Peake, GSAF"
2002.03.25.b,Mar,25,2002,usa,hawaii,"brenecke beach, po'ipu, kaua'i",Unprovoked,Left leg severed below knee,n,m,Body-boarding,"G. Kubota, Honolulu Star Bulletin"
2002.03.25.a,Mar,25,2002,usa,florida,cocoa beach,Unprovoked,Foot bitten,n,f,Wading,"Orlando Sentinel, 3/26/2002, p.B2; Miami Herald, 3/26/2002"
2002.03.24,Mar,24,2002,brazil,pernambuco,"boa viagem beach, recife",Unprovoked,"Severe kacerations, FATAL",y,m,Swimming,JCOnline
2002.03.19,Mar,19,2002,usa,florida,daytona beach shores,Unprovoked,Punctures on left foot and foot ,n,m,Swimming /  boogie boarding,"S. Petersohn, GSAF; Orlando Sentinel, 3/20/2002, p.B2"
2002.03.15.b,Mar,15,2002,usa,florida,deerfield beach (near boca raton),Unprovoked,Arm bitten,n,m,Snorkeling,ezboard.com
2002.03.15.a,Mar,15,2002,usa,florida,new smyrna beach,Unprovoked,Several  puncture wounds on lower right leg,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel, 3/16/2002, p.C.2"
2002.02.23,Feb,23,2002,turks & caicos,,,Unprovoked,FATAL,y,m,Capsized fishing boat,sharkattacks.com
2002.02.16,Feb,16,2002,australia,queensland,sunshine beach,Unprovoked,Heel / foot bitten,n,m,Surfing,"Sunday Mail (QLD), 2/17/2002, p.13; T. Peake, GSAF;  AAP (Australia)"
2002.02.11,Feb,11,2002,fiji,cikobia island (north of vanua levu),,Unprovoked,"FATAL, lower thigh & knee severely lacerated ",y,m,,Press Report dated 2-14-2002
2002.01.30.b,Jan,30,2002,australia,new south wales,just north of fingal spit,Unprovoked,Bruises & minor cuts,n,m,Surfing,"T. Peake, GSAF"
2002.01.30.a,Jan,30,2002,australia,western australia,collie river,Unprovoked,15 cm wound on inner thigh,n,m,Swimming,"T. Peake, GSAF; D. Green"
2001.11.23,Nov,23,2001,australia,new south wales,"flat rock beach, lennox head",Unprovoked,"No Injury, shark hit board",n,m,Surfing,"T. Peake, GSAF"
2001.09.30.b,Sep,30,2001,mexico,guerrero,ixtapa,Unprovoked,Hand injured,n,m,Body surfing,T. Carlson
2001.09.24,Sep,24,2001,usa,florida,ponce inlet,Provoked,PROVOKED INCIDENT Several small lacerations on left foot ,n,m,"Surfing, fell off surfboard & stepped on the shark.","S. Petersohn, GSAF"
2001.09.18,Sep,18,2001,usa,florida,new smyrna beach,Unprovoked,"1"" to 2"" cuts on right ankle & foot",n,m,Surfing,"Orlando Sentinel, 9/20/2001, p.D2; S. Frederick, Daytona Beach News Journal, 9/19/2001, p.1C"
2001.09.15.b,Sep,15,2001,usa,florida,a quarter mile north of fort pierce inlet,Unprovoked,"2 lacerations on lower back, punctures on buttock",n,m,Boogie boarding,"G. Hock, M. Levine, GSAF; Orlando Sentinel, 9/18/2001, p.D2"
2001.09.15.a,Sep,15,2001,usa,north carolina,north topsail beach,Unprovoked,Foot bitten,n,m,Surfing,"Clay Creswell, GSAF; Topsail Voice, 9/19/2001"
2001.09.13,Sep,13,2001,united kingdom,cheshire,"blue planet aquarium, ellesmere port",Provoked,Head bitten by captive shark PROVOKED INCIDENT,n,m,Diving,"Daily Post, 9/14/2001"
2001.08.31,Aug,31,2001,bahamas,abaco islands,north of grand cay,Unprovoked,Torso lacerated,n,m,Spearfishing,G. Atkinson
2001.08.29,Aug,29,2001,usa,florida,coquina beach,Unprovoked,Punctures & lacerations on elbow & forearm,n,f,Standing,"Sarasota Herald-Tribune, 8/31/2001"
2001.08.27,Aug,27,2001,usa,florida,new smyrna beach,Unprovoked,Heel lacerated,n,m,Wading,"S. Petersohn, GSAF; CNN;  M.I. Johnson,  Daytona Beach News Journal, 8/28/2001, p.1A"
2001.08.26,Aug,26,2001,usa,florida,new smyrna beach,Unprovoked,Thigh & foot bitten,n,m,Boogie Boarding,"Miami Herald, 8/26/2001; S. Mussenden, Orlando Sentinel, 8/26/2002, p.B1"
2001.08.25,Aug,25,2001,usa,florida,new smyrna beach,Unprovoked,Upper left thigh & right foot bitten,n,m,Boogie Boarding,"S. Petersohn, Miami Herald, 8/26/2001"
2001.08.22,Aug,22,2001,usa,florida,daytona,Unprovoked,Foot lacerated,n,m,Surfing,"M. Giusti, Daytona Beach News Journal, 8/23/2001, p.1A"
2001.08.21,Aug,21,2001,usa,florida,new smyrna beach,Unprovoked,Thigh lacerated,n,m,Surfing,"S. Petersohn, GSAF; L.Lelis, Orlando Sentinel, 8/22/2001, p.D.1"
2001.08.19.c,Aug,19,2001,usa,florida,new smyrna beach,Unprovoked,Cuts on right foot,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; Daytona Beach News Journal, 8/20/2001, p.1A"
2001.08.19.b,Aug,19,2001,usa,florida,new smyrna beach,Unprovoked,Lacerations to lower leg,n,f,Surfing,"E. Ritter & S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; L.Lelis, Orlando Sentinel, 8/22/2001, p.D.1"
2001.08.19.a,Aug,19,2001,usa,florida,wilbur-by-the-sea,Unprovoked,Left foot lacerated,n,f,Surfing,"S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; Daytona Beach News Journal, 8/20/2001, p.1A"
2001.08.18.c,Aug,18,2001,usa,florida,new smyrna beach,Unprovoked,Cuts on right foot,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; Daytona Beach News Journal, 8/20/2001, p.1A"
2001.08.18.b,Aug,18,2001,usa,florida,new smyrna beach,Unprovoked,Back of left hand gashed,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; Daytona Beach News Journal, 8/20/2001, p.1A"
2001.08.18.a,Aug,18,2001,usa,florida,new smyrna beach,Unprovoked,Left ankle bitten,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel, 8/20/2001, p.B1; Daytona Beach News Journal, 8/20/2001, p.1A"
2001.08.16,Aug,16,2001,bahamas,grand bahama island,"high rock, 25 to 30 miles east of freeport",Unprovoked,Calf bitten,n,m,Spearfishing,"E. Ritter, GSAF; 8/17/2001, p.A9"
2001.08.12,Aug,12,2001,thailand,rayong province,laem mae pim beach,Unprovoked,Legs bitten,n,m,Fell off banana boat,O. Jaimuang
2001.07.26,Jul,26,2001,usa,south carolina,myrtle beach,Unprovoked,Survived,n,f,,SAF
2001.07.25,Jul,25,2001,usa,florida,taverniier,Unprovoked,Minor injury,n,m,,"Key West Citizen, 7/26/2001"
2001.07.24,Jul,24,2001,usa,florida,marathon,Unprovoked,2 bites behind knee,n,f,,"Key West Citizen, 7/26/2001"
2001.07.15.b,Jul,15,2001,usa,florida,santa rosa island,Unprovoked,Left foot & heel lacerated,n,m,Surfing,"CNN; Pensacola News Journal;  R. Suriano, Otlando Sentinel, 7/17/2001, p.D.1"
2001.07.15.a,Jul,15,2001,usa,florida,amelia island,Unprovoked,Foot lacerated,n,m,Boogie boarding,"The Enquirer (Cincinnati), 7/17/2001 "
2001.06.12,Jun,12,2001,usa,texas,padre island national seashore,Unprovoked,Leg lacerated,n,m,Swimming,"Houston Chronicle, 6/17/2001"
2001.06.10,Jun,10,2001,usa,california,catalina island,Provoked,"No injury. Shark made threat display, then diver shot the shark PROVOKED INCIDENT",n,m,Spearfishing,"R. Collier, GSAF"
2001.05.29,May,29,2001,usa,texas,galveston island,Unprovoked,Survived,n,m,,sharkattacks.com
2001.05.23 ,May,23,2001,usa,south carolina,coligny beach,Unprovoked,Shin lacerated,n,m,Swimming,"C. Creswell, GSAF"
2001.05.20,May,20,2001,usa,south carolina,fripp island,Unprovoked,5.5-inch laceration on calf,n,m,Swimming,"Charlotte Observer, 5/23/2001, p.5B; Greenville News, 5/26/2001"
2001.05.18,May,18,2001,philippines,zamboanga del sur province,,Provoked,Arm bitten PROVOKED INCIDENT,n,m,Shark fishing,AFP
2001.04.28,Apr,28,2001,usa,florida,new smyrna beach,Unprovoked,4 small lacerations on lower right leg,n,m,Boogie boarding,"S. Petersohn, GSAF"
2001.04.13.b,Apr,13,2001,usa,florida,new smyrna beach,Unprovoked,Foot & ankle lacerated,n,m,Surfing,"J. Eager, scubaradio.com; Orlando Sentinel, April 14, 2001, p.A1"
2001.04.13.a,Apr,13,2001,usa,florida,new smyrna beach,Unprovoked,Right foot & ankle lacerated,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1"
2001.04.12.e,Apr,12,2001,usa,florida,waveland beach,Unprovoked,Right ankle & lower leg lacerated,n,m,,"M. Large, Stuart News, 4/13/2001 "
2001.04.12.d,Apr,12,2001,usa,florida,new smyrna beach,Unprovoked,Foot & ankle lacerated,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1"
2001.04.12.c,Apr,12,2001,usa,florida,new smyrna beach,Unprovoked,Small cuts on big & pinky toes of left foot,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1"
2001.04.12.b,Apr,12,2001,usa,florida,new smyrna beach,Unprovoked,Foot & ankle lacerated,n,m,Body boarding,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1"
2001.04.12.a,Apr,12,2001,usa,florida,new smyrna beach / waveland,Unprovoked,Foot lacerated,n,m,Surfing,"S. Petersohn, GSAF; Orlando Sentinel, 4/14/2001, p.A1"
2001.04.11.d,Apr,11,2001,usa,florida,new smyrna beach,Unprovoked,Minor cuts on right heel & foot,n,m,Surfing,"S. Petersohn, GSAF; scubaradio.com; Orlando Sentinel, 4/14/2001, p.A1"
2001.04.11.c,Apr,11,2001,usa,florida,new smyrna beach / waveland,Unprovoked,Lacerations to top & bottom of left foot,n,m,Surfing,"S. Petersohn, GSAF"
2001.04.11.a,Apr,11,2001,usa,hawaii,"ewa beach, o'ahu",Unprovoked,Minor punctures & lacerations on left hand ,n,m,Surfing,Honolulu Star Bulletin
2001.03.23,Mar,23,2001,usa,hawaii,"sandy beach, oahu",Unprovoked,"Minor cuts on left hand, body board bitten",n,m,Body-boarding,Hawaii Department of Land and Natural Resources
2001.01.24,Jan,24,2001,cuba,holquin province,off blau costa verde resort,Unprovoked,Left arm bitten,n,f,Swimming,"Trip Advisor, et al."
2000.12.24,Dec,24,2000,australia,queensland,flinders cay,Unprovoked,Hand bitten,n,m,Scuba diving,"Daily Telegraph, 12/26/2000, p.7"
2000.12.12,Dec,12,2000,fiji,taveuni,garden island resort,Unprovoked,"FATAL, leg severed ",y,m,Swimming back from anchored sailboat,multiple internet sources
2000.11.21,Nov,21,2000,australia,queensland,orpheus island,Unprovoked,"No injury, wetsuit & swimfin torn",n,m,Diving (shell maintenance),"Courier-Mail, 11/24/2000, p.3"
2000.11.18,Nov,17,2000,usa,florida,bonita springs,Unprovoked,Right calf lacerated,n,m,Swimming,"South Florida Sun Sentinel, 11/19/2000, p.6B"
2000.10.20,Oct,20,2000,usa,florida,fort pierce inlet state park,Unprovoked,Leg lacerated,n,m,Surfing,"Stuart News, 10/21/2000"
2000.10.18,Oct,18,2000,usa,hawaii,olowalu,Unprovoked,Right side of back / torso lacerated,n,f,Swimming / snorkeling,GSAF
2000.10.14,Oct,14,2000,usa,florida,south beach,Unprovoked,Right hand lacerated,n,m,Swimming,"D. Robinson, Vero Beach Press Journal, 10/17/2000, p.A4"
2000.09.29,Sep,29,2000,usa,california,mavericks,Unprovoked,No injury,n,m,Sitting on surfboard,"P. Euwer, Ocean.com; D.W. Cole & M. DesJardins, Santa Cruz Sentinel"
2000.09.25,Sep,25,2000,australia,south australia,"black point, eyre peninsula",Unprovoked,FATAL,y,m,Surfing,"T. Peake, GSAF"
2000.09.24,Sep,24,2000,australia,south australia,cactus beach near penong,Unprovoked,FATAL,y,m,Surfing,"T. Peake, GSAF"
2000.09.18,Sep,19,2000,australia,new south wales,wollongong,Provoked,Foot lacerated from toe to heel when he tripped on shark during fishing competition PROVOKED INCIDENT,n,m,Fell onto dead shark,Illwara Mercury. 9/19/2000
2000.09.16.b,Sep,16,2000,okinawa,miyako island,sunayama beach,Unprovoked, FATAL,y,m,Surfing,M. Shimbun; japanupdate.com
2000.09.15,Sep,15,2000,usa,florida,fort pierce inlet,Unprovoked,Right lower leg & ankle lacerated,n,m,Standing / surfing,"SharkSurvivor.com.; The Stuart (FL) News, 9/19/2000"
2000.09.12,Sep,12,2000,usa,florida,sebastian inlet,Unprovoked,Puncture wounds on knee,n,f,Surfing,"SharkSurvivor.com; Florida Today, 9/13/2000"
2000.09.11,Sep,11,2000,usa,florida,daytona beach shores,Unprovoked,Finger lacerated,n,m,Swimming / Body surfing,"S. Petersohn, GSAF; Daytona  Beach News Journal, 9/12/2000, p.1.A; Orlando Sentinel, 9/12/2000, p.D2"
2000.09.10.b,Sep,10,2000,usa,florida,vero beach,Unprovoked,Minor injury to arm and hand,n,m,Swimming,"Fort Pierce Tribune, 9/12/2000"
2000.09.10.a,Sep,10,2000,south africa,western cape province,dyer island,Unprovoked,Swim fin bitten,n,m,Free diving,"E. Ritter, GSAF"
2000.08.31,Aug,31,2000,usa,florida,new smyrna beach,Unprovoked,Punctures & lacerations on right foot,n,m,Swimming,"S. Petersohn, GSAF"
2000.08.30,Aug,30,2000,usa,florida,boca ciega bay,Unprovoked,FATAL,y,m,Jumped into the water,"E. Ritter, GSAF; Charlotte Observer, 9/1/2000, p.4A; Orlando Sentinel, 8/31/2000, p.A19"
2000.08.27.R,Aug,27,2000,usa,alaska,prince william sound,Provoked,Leg bitten by netted shark PROVOKED INCIDENT,n,m,Conducting research,B.A. Wright
2000.08.21,Aug,21,2000,usa,north carolina,bouges bank,Unprovoked,"Severe gash to left hand above wrist, almost severing hand",n,m,Swimming out to porpoises ,"C. Creswell, GSAF; Wilmington Morning Star; Charlotte Observer, 8/23/2000, p.2B"
2000.08.15,Aug,15,2000,usa,hawaii,"kanaha beach, maui",Unprovoked,Left calf lacerated,n,m,"Windsurfing, but sitting on his board",Maui.net
2000.08.13,Aug,13,2000,usa,florida,south jacksonville beach,Unprovoked,Minor lacerations to the dorsum of the right foot,n,m,Surfing / Wading,"Florida Times-Union, 8/14/2000; Orlando Sentinel, 8/15/2000, p.D3"
2000.08.12,Aug,12,2000,usa,florida,st. augustine,Unprovoked,Severely bitten on lower leg ,n,f,Standing,M. White
2000.07.25,Jul,25,2000,usa,florida,new smyrna beach,Unprovoked,Minor laceration on left leg,n,m,,"M. Johnson, Daytona Beach News Journal"
2000.07.22,Jul,22,2000,usa,florida,big pine key,Unprovoked,Leg pinched,n,f,Snorkeling,"E. Ritter, GSAF"
2000.07.17,Jul,17,2000,usa,north carolina,oceanic pier,Unprovoked,Foot lacerated,n,m,Surfing,"C. Creswell, GSAF; Charlotte Observer, 7/20/2000, p.1A & 8/23/2000, p.2B; F. Schwartz, p.23"
2000.07.16.b,Jul,16,2000,usa,north carolina,holden beach,Unprovoked,Minor lacerations on foot,n,m,Surfing,"C. Creswell, GSAF; Charlotte Observer, 7/20/2000, p.1A"
2000.07.16.a,Jul,16,2000,south africa,eastern cape province,"nahoon, east london",Unprovoked,Hand lacerated,n,m,Surfing,"A. Gifford, GSAF; Orlando Sentinel, 7/19/2000, p.A11  "
2000.07.15.b,Jul,15,2000,south africa,eastern cape province,cape recife,Unprovoked,"No injury, flung off board",n,m,Surfing,"A. Gifford, GSAF"
2000.07.15.a,Jul,15,2000,south africa,kwazulu-natal,south of durban,Unprovoked,No Injury,n,m,Surfing,"A. Gifford, GSAF"
2000.07.12,Jul,12,2000,tonga,minerva reef,treated at nuku-alofa,Unprovoked,Left arm bitten,n,m,Scuba diving,www.spearfishingsa.co.za
2000.07.10,Jul,10,2000,usa,florida,daytona  beach,Unprovoked,Minor laceration & 3 punctures to right foot,n,m,Wading,"S. Petersohn, GSAF; M. I. Johnson; H. Frederick, Daytona Beach News Journal, 7/11/2000, p.1A"
